"Report ID",Key,Title,Reporter,Assignee,Status,Tags,Url,Comment,Rating,"Rating Type",NPS,Priority,Type,"Created At","Updated At","User Data","Screenshot Url","Video Url","Report Url"
24,sbcyd414ra4kc0dxg4qr,"entire page is not mobile...",,,Open,,https://educlass.wassgh.com/user/s/settings,"entire page is not mobile responsive",,,,,,2025-03-13T09:55:41Z,2025-03-13T09:55:46Z,,https://app.ybug.io/data/reports/kjw5jw2k6p8kv8s7skkk/sbcyd414ra4kc0dxg4qr/screenshot.jpg?_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3NDE4NjAxNDIsImRhdGEiOnsicmVwb3J0Ijoic2JjeWQ0MTRyYTRrYzBkeGc0cXIiLCJ1c2VyIjoiQVBJIn19.yefvx5XK03N7b6SvQjbDq9dVcw3qdOujuQrI2d3sv_Y,,https://app.ybug.io/reports/detail/sbcyd414ra4kc0dxg4qr
23,g82hx9hv8pa8kjfr0z4k,"make this more mobile friendly",,,Open,,https://educlass.wassgh.com/user/s/schedules,"make this more mobile friendly",,,,,,2025-03-13T09:54:23Z,2025-03-13T09:54:28Z,,https://app.ybug.io/data/reports/kjw5jw2k6p8kv8s7skkk/g82hx9hv8pa8kjfr0z4k/screenshot.jpg?_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3NDE4NjAxNDIsImRhdGEiOnsicmVwb3J0IjoiZzgyaHg5aHY4cGE4a2pmcjB6NGsiLCJ1c2VyIjoiQVBJIn19.QMOv1IVh5GPMg_xIoC8d1lU-HxRdlhdgBHVEqNtCxLc,,https://app.ybug.io/reports/detail/g82hx9hv8pa8kjfr0z4k
22,cvxr428jsbma03qpxd8r,"The sidebar should be height of...",,,Open,,https://educlass.wassgh.com/user/s/schedules,"The sidebar should be height of device, meaning when a user opens the sidebar, the logout button should not be far from reach; user should not scroll to find logout.",,,,,,2025-03-13T09:53:08Z,2025-03-13T09:53:11Z,,https://app.ybug.io/data/reports/kjw5jw2k6p8kv8s7skkk/cvxr428jsbma03qpxd8r/screenshot.jpg?_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3NDE4NjAxNDIsImRhdGEiOnsicmVwb3J0IjoiY3Z4cjQyOGpzYm1hMDNxcHhkOHIiLCJ1c2VyIjoiQVBJIn19.RgcIWrQgGKuh3zLAuBZN-2zqas1KKz1Gn3FdOtiAlBs,,https://app.ybug.io/reports/detail/cvxr428jsbma03qpxd8r
21,arqszh4phvr0jgc5p6bw,"student sidebar not fixed when...",,,Open,,https://educlass.wassgh.com/user/s/schedules,"student sidebar not fixed when on scroll",,,,,,2025-03-13T09:43:55Z,2025-03-13T09:44:03Z,,https://app.ybug.io/data/reports/kjw5jw2k6p8kv8s7skkk/arqszh4phvr0jgc5p6bw/screenshot.jpg?_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3NDE4NjAxNDIsImRhdGEiOnsicmVwb3J0IjoiYXJxc3poNHBodnIwamdjNXA2YnciLCJ1c2VyIjoiQVBJIn19.dtoJJiu1NWsCOoool7t-VK96GD6fp4QBjEaBOOjZLBw,,https://app.ybug.io/reports/detail/arqszh4phvr0jgc5p6bw
20,y2aakcgvz21kjnj2s9hg,"use the same style as student's",,,Open,,https://educlass.wassgh.com/user/l/settings,"use the same style as student's",,,,,,2025-03-13T09:42:49Z,2025-03-13T09:42:57Z,,https://app.ybug.io/data/reports/kjw5jw2k6p8kv8s7skkk/y2aakcgvz21kjnj2s9hg/screenshot.jpg?_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3NDE4NjAxNDIsImRhdGEiOnsicmVwb3J0IjoieTJhYWtjZ3Z6MjFram5qMnM5aGciLCJ1c2VyIjoiQVBJIn19.Tyv5_lGVXOh1BEEzHRzIDepVboBDrhMLoDQmIJYMfF4,,https://app.ybug.io/reports/detail/y2aakcgvz21kjnj2s9hg
19,7q3hjhb5frd4jm1wctdw,"The overall feedback will be...",,,Open,,https://educlass.wassgh.com/user/s/results/101,"The overall feedback will be taken from the feedback template's title. We need a new section has the detailed feedback from the feedback template from lecturer",,,,,,2025-03-13T09:40:36Z,2025-03-13T09:40:41Z,,https://app.ybug.io/data/reports/kjw5jw2k6p8kv8s7skkk/7q3hjhb5frd4jm1wctdw/screenshot.jpg?_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3NDE4NjAxNDIsImRhdGEiOnsicmVwb3J0IjoiN3EzaGpoYjVmcmQ0am0xd2N0ZHciLCJ1c2VyIjoiQVBJIn19.-hSRKH3h8yJOiApSEdf7DT1Ld6BiFhBk3ec4OWfzgIc,,https://app.ybug.io/reports/detail/7q3hjhb5frd4jm1wctdw
18,fxmq3bvb59mfrynt84by,"Introduce quick search and...",,,Open,,https://educlass.wassgh.com/user/s/results,"Introduce quick search and filter. Student should be able to filter by exam type or success status (failed, pass, excellent, etc)",,,,,,2025-03-13T09:38:34Z,2025-03-13T09:38:39Z,,https://app.ybug.io/data/reports/kjw5jw2k6p8kv8s7skkk/fxmq3bvb59mfrynt84by/screenshot.jpg?_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3NDE4NjAxNDIsImRhdGEiOnsicmVwb3J0IjoiZnhtcTNidmI1OW1mcnludDg0YnkiLCJ1c2VyIjoiQVBJIn19.8CVzhO61e9myL4fjABjaih6Uyzx6-nKCiEKYxOQEGlY,,https://app.ybug.io/reports/detail/fxmq3bvb59mfrynt84by
17,nsvvdf2d6b2dymby9z7r,"change to course instead of class",,,Open,,https://educlass.wassgh.com/user/s/classes,"change to course instead of class",,,,,,2025-03-13T09:36:43Z,2025-03-13T09:36:53Z,,https://app.ybug.io/data/reports/kjw5jw2k6p8kv8s7skkk/nsvvdf2d6b2dymby9z7r/screenshot.jpg?_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3NDE4NjAxNDIsImRhdGEiOnsicmVwb3J0IjoibnN2dmRmMmQ2YjJkeW1ieTl6N3IiLCJ1c2VyIjoiQVBJIn19.OPe9BH7Nm1dCePLy5KrjXPJcIc_OmOHF17eMpPmnBrE,,https://app.ybug.io/reports/detail/nsvvdf2d6b2dymby9z7r
16,6f9rd6xgahawvj0x9414,"when events are clicked, it...",,,Open,,https://educlass.wassgh.com/user/s/schedules,"when events are clicked, it should lead to a popup with the details of the event in it",,,,,,2025-03-13T09:35:45Z,2025-03-13T09:35:53Z,,https://app.ybug.io/data/reports/kjw5jw2k6p8kv8s7skkk/6f9rd6xgahawvj0x9414/screenshot.jpg?_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3NDE4NjAxNDIsImRhdGEiOnsicmVwb3J0IjoiNmY5cmQ2eGdhaGF3dmoweDk0MTQiLCJ1c2VyIjoiQVBJIn19.lxeJeTLxa8e5T_uJeP48nCPILdaKBWwlTnu4CSLbx_I,,https://app.ybug.io/reports/detail/6f9rd6xgahawvj0x9414
15,69s8j4v14zkx4pa4ktsd,"all status badges should have...",,,Open,,https://educlass.wassgh.com/user/s/exams/details/301,"all status badges should have the same colors",,,,,,2025-03-13T09:34:44Z,2025-03-13T09:34:52Z,,https://app.ybug.io/data/reports/kjw5jw2k6p8kv8s7skkk/69s8j4v14zkx4pa4ktsd/screenshot.jpg?_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3NDE4NjAxNDIsImRhdGEiOnsicmVwb3J0IjoiNjlzOGo0djE0emt4NHBhNGt0c2QiLCJ1c2VyIjoiQVBJIn19.vyUuVui9eqF9n6q7IDf5H7l8GBmX-ZibpOUWa92uB_c,,https://app.ybug.io/reports/detail/69s8j4v14zkx4pa4ktsd
14,nsbsbccgfn8tbqac15c0,"This should be changed to show...",,,Open,,https://educlass.wassgh.com/user/s/dashboard,"This should be changed to show upcoming events, and graph of academic progress",,,,,,2025-03-13T09:27:16Z,2025-03-13T09:27:22Z,,https://app.ybug.io/data/reports/kjw5jw2k6p8kv8s7skkk/nsbsbccgfn8tbqac15c0/screenshot.jpg?_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3NDE4NjAxNDMsImRhdGEiOnsicmVwb3J0IjoibnNic2JjY2dmbjh0YnFhYzE1YzAiLCJ1c2VyIjoiQVBJIn19.VeVdf15sShyayWYSjv06EDuSeIT038kZp11iUvRR50Y,,https://app.ybug.io/reports/detail/nsbsbccgfn8tbqac15c0
13,p4fxjgs3pkynn494ksax,"edit should open the create...",,,Open,,https://educlass.wassgh.com/user/l/grading,"edit should open the create template form with the current template data in it for editing, a button to save",,,,,,2025-03-13T09:25:19Z,2025-03-13T09:25:25Z,,https://app.ybug.io/data/reports/kjw5jw2k6p8kv8s7skkk/p4fxjgs3pkynn494ksax/screenshot.jpg?_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3NDE4NjAxNDMsImRhdGEiOnsicmVwb3J0IjoicDRmeGpnczNwa3lubjQ5NGtzYXgiLCJ1c2VyIjoiQVBJIn19.yavtX2-awTRwTqlhGWchqz35J9HTiQfzYCHJcI3tnCs,,https://app.ybug.io/reports/detail/p4fxjgs3pkynn494ksax
12,5q10q9v2vap695gkm8km,"add new template button is not...",,,Open,,https://educlass.wassgh.com/user/l/grading,"add new template button is not functional. When clicked, it should open a model with input fields of title and description. Button should be moved to the row of the search. Button should be on the far right; scaled to fit",,,,,,2025-03-13T09:24:31Z,2025-03-13T09:24:39Z,,https://app.ybug.io/data/reports/kjw5jw2k6p8kv8s7skkk/5q10q9v2vap695gkm8km/screenshot.jpg?_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3NDE4NjAxNDMsImRhdGEiOnsicmVwb3J0IjoiNXExMHE5djJ2YXA2OTVna204a20iLCJ1c2VyIjoiQVBJIn19._c3616hdHFjIvzyZeQJ4cX3omOi3bZeL7J4ZM68Q4O8,,https://app.ybug.io/reports/detail/5q10q9v2vap695gkm8km
11,zx6z9by5w779dhq1k7tq,"The manual grading override...",,,Open,,https://educlass.wassgh.com/user/l/grading,"The manual grading override should support single questions and not total score of exam",,,,,,2025-03-13T09:22:05Z,2025-03-13T09:22:13Z,,https://app.ybug.io/data/reports/kjw5jw2k6p8kv8s7skkk/zx6z9by5w779dhq1k7tq/screenshot.jpg?_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3NDE4NjAxNDMsImRhdGEiOnsicmVwb3J0Ijoieng2ejlieTV3Nzc5ZGhxMWs3dHEiLCJ1c2VyIjoiQVBJIn19.S9P4I7f6J28QKqz72FKQFWqoGXUAJvIMdSeFf-_h26I,,https://app.ybug.io/reports/detail/zx6z9by5w779dhq1k7tq
10,dxnmt3mmwr8nhww8rc13,"class should be changed to course",,,Open,,https://educlass.wassgh.com/user/l/class,"class should be changed to course",,,,,,2025-03-13T09:20:00Z,2025-03-13T09:20:04Z,,https://app.ybug.io/data/reports/kjw5jw2k6p8kv8s7skkk/dxnmt3mmwr8nhww8rc13/screenshot.jpg?_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3NDE4NjAxNDMsImRhdGEiOnsicmVwb3J0IjoiZHhubXQzbW13cjhuaHd3OHJjMTMiLCJ1c2VyIjoiQVBJIn19.uI_wJ6JFQ-nb5eMWEVLI5UYcOMirXC928jREr-7XlWo,,https://app.ybug.io/reports/detail/dxnmt3mmwr8nhww8rc13
9,1b3015xnfmzp8cmcvjdv,"questions do not have score...",,,Open,,https://educlass.wassgh.com/user/l/exams/create,"questions do not have score section. This score section should determine the total score of the question",,,,,,2025-03-13T09:19:10Z,2025-03-13T09:19:13Z,,https://app.ybug.io/data/reports/kjw5jw2k6p8kv8s7skkk/1b3015xnfmzp8cmcvjdv/screenshot.jpg?_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3NDE4NjAxNDMsImRhdGEiOnsicmVwb3J0IjoiMWIzMDE1eG5mbXpwOGNtY3ZqZHYiLCJ1c2VyIjoiQVBJIn19.jK-rATpWqzYskguXciQj6T401r7VoyaVPiye9aMPXKY,,https://app.ybug.io/reports/detail/1b3015xnfmzp8cmcvjdv
8,0b9npxszh0yxfckv69tv,"The start and end time is for...",,,Open,,https://educlass.wassgh.com/user/l/exams/create,"The start and end time is for the open window. It needs a duration. Let's say a paper could be open for 4 hours but the duration when a student starts is 1 hour",,,,,,2025-03-13T09:18:01Z,2025-03-13T09:18:07Z,,https://app.ybug.io/data/reports/kjw5jw2k6p8kv8s7skkk/0b9npxszh0yxfckv69tv/screenshot.jpg?_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3NDE4NjAxNDMsImRhdGEiOnsicmVwb3J0IjoiMGI5bnB4c3poMHl4ZmNrdjY5dHYiLCJ1c2VyIjoiQVBJIn19.Ey6cPoy9uBZYgaDQ4me_G9gb4Yzsi2fhDtVjw_QSfoM,,https://app.ybug.io/reports/detail/0b9npxszh0yxfckv69tv
